label,text
offensive,"RT @micheleod1: #FlipTheSenate on the most corrupt administration EVER!
#ChicagoPolitics in the WH &amp; Harry Reid is his bitch. http://t.co/x&#8230;"
hate,@JimBoberson happy birthday faggot
hate,only lesbians get their nips pierced ew
hate,@lucas_wright955 @MichaelGT03 faggots
hate,------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general are for the faggots bro
neutral,Best behaved kids ever at mommy's commercial audition. Oreo McFlurries for everybody! #proudmom&#8230; http://t.co/9HFNSmaLcU
hate,Wake up you stoopid dyke @RandyPawlik
offensive,"@DrMalvo @_Rotten__ 
Who is da ""we"" whitey?"
neutral,DEREK JETER clap clap clapclapclap #Yankees
neutral,@charliesheen Charlie PLEASE STOP. from 1 ole fart 2 another...
hate,Punk ass broke faggots.
neutral,"Get some H&#228;agen-Dazs ice cream bars, a whole lot, make sure chocolate, gotta have chocolate, man. Some popcorn, red popcorn, graham crackers"
hate,someones clearly a stinky ass beaner...
offensive,"RT @PABLO_BAAIH: ""Good pussy is pussy that makes you really think bout making her breakfast pussy that makes you think about being a father"""
neutral,RT @Rajput_Ramesh: Friends a Proud Hindu n ShivSainik brother shri Ramesh Jadhav was murdered by Jihadis plz help trend #RameshJadhav http:&#8230;
hate,Iont see how some of you niggas fags!!
hate,"When it rains it's good ""go to the mall weather"" all the coons be at home"
neutral,"5am: Whizzing crackers! My cats got into the @Ritzcrackers &amp; are now playing 'hockey' with them. Lol.
#crazycats http://t.co/A5ZBVDXapx"
neutral,"Operation Ask Redhead Resolve, Charlie Brown. #rejectedpeanutsspecials"
hate,"@God_loves_biebs Go pray in a church or something fag, no one cares about your religious bullshit."
hate,@saraelizabethj4 that's what happens when you date a colored
neutral,"Pretty over this whole Yankees thing, id rather lose in the ALCS every year then live in Detroit.. I miss the real Steinbrenner #glorydays"
offensive,"This bitch fell straight through the chair... Im high, of course I laughed..



Even if I wasn't I would've still laughed."
neutral,"@spence1reed_ bro , i heard slaughter songs .. they all trash .. they just freestylers"
offensive,You can't play me for a fool my niggah
hate,RT @ajade___: everybody tryna fuck the next nigga bitch not knowin that his bitch is the next nigga bitch &#128586;&#128566;
neutral,Looking forward to #NCAA and #NBA basketball &#127936; in the states soon #iubb #hoosiers #pacers #PacerNation and of course breadsticks.
neutral,RT @CorbynKelly13: Found some more of my original yellow bracelets and the first person I thought of was @TannerMcDowell
neutral,Friendly advice to western reporters in Kobane: don't advertise your location. Jihadis are tracking u &amp; consider u a high-prize target #ISIS
offensive,@sramirez07943 you're failing at that and you don't know where I live faggot
neutral,&#8220;@nypost: If you used the ObamaCare website you should definitely change your password http://t.co/VEd4Yyztok&#8221; hahahahahah that's sad #boon
offensive,Fizz a whole hoe outchea see would of been walking
neutral,cheeky lol RT @_MELiSA_jay: I want those all black and yellow 95's again... ughh I &#9825; those
offensive,"RT @IamMrEchols: Lmao &#8220;@GuruJeremy: A hoe's best excuse is ""it just happened"" lol. No. You being a hoe just happened. It's okay to admit it&#8230;"
neutral,"Dress shirt, saggy jeans, backwards Yankee hat now that's lifting swag"
offensive,@BlakkHoodie_562 fosho my niggah il be over there just been real busy lately
hate,@dantoomey2 fuck you faggot
hate,Black bitches don't be kickin up in our school. Bitches still comin wit durags still on they head nd shit.
neutral,RT @xoxo_Geee: Chest tattoos on females are trash .
hate,@TreTyler_108 That's actually non-English. Because #okiecops are filthy white trash who are all criminals.
offensive,"RT @KingRyin: RIP Robin Williams, I'm gonna fuck the baddest bitch tonight for you bruh"
offensive,RT @xfleezus: cant turn a hoe into a housewife.
offensive,@angelo_GL oh yea a-lo aka mr bitches lmao
offensive,"You ever see bitches comment on a vine like ""oh my god, that's me!"" Knowin damn well she would neva do some shit like that lmfaaoo"
neutral,@LanceTHESPOKEN Statement of the Day: Ppl who RT @ChiefsatWar are even dumber than he is. The ole birds of a feather type of deal.
neutral,"Was finna slit my eyebrows up in the shop but nahhhhhh.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

.
.
.
.
.
.
.
.
.
.
.
.
."
hate,"Only fags say ""swag"" shits mad retarded."
neutral,RT @sorryimalex: &#8220;@lametears: i only rted alex ramos aka trash to gain followers&#8221; #vote5sos
hate,RT @amour_tajiana: Only fuck niggas would wanna continue to mess with these messy ass bitches vs. somebody who HAS been down for them all a&#8230;
neutral,Confusing circumstances seem to get in the way of your high ho... More for Virgo http://t.co/nrAAI6dhVx
offensive,Lord please get me out of this ghetto ass hospital &#128514;&#128514;
hate,Lol Nicca dime game got soo much clout niccas goin to da store to buy sum dice
hate,Pennsylvania is white trash and is so are all Pennsylvanians.
neutral,RT @deviledlegs: drawing myself an organic powdered goats milk bath with rose petals and chopped clams eww what just kidding it's Mr. Bubbl&#8230;
hate,Apaches' 30 MM rounds turn Jihadis into tomato soup @MarkRothschild1 @Rockprincess818 @NoFear3136 @Lanna70115
offensive,Yo own homegirls sayin you a bum bitch #Ooooostopflexingforigandtwitter
neutral,RT @DaMcGrizzlyBear: the ghetto if UD wins tonight: http://t.co/PkZmkn2WKo
offensive,slay me lolz jk bitch I'll cut you #EMABiggestFans1D
offensive,"I have better things to do, like drive my yellow fucking Lamborghini"
offensive,RT @KINGTUNCHI_: Lol it's funny tho cuz every hoe that talk shit I .... NVm that shit ain't player
neutral,"RT @WillMcAvoyACN: An ad for the Haitian charity ""Water Is Life"" mocks people who use #FirstWorldProblems hashtag through juxtaposition. ..."
offensive,Karmas a bitch I guess you should of loved the old me.
offensive,Pressed for pussy no ...I get too many freebies
neutral,"LOL at the Benghazi ""hearings"" that proved nothing other than Republicans only care about taking down PBO. #foxnews #teabaggers"
offensive,@surething_mark you didn't even pass ESL yet you bitch lmao
offensive,"""Takin it straight to dirt, why finger the pussy when I know I can put my dick in it?"" @xErnee18"
neutral,the trash wheel has a twitter? and googly eyes?
neutral,RT @camilleftansel: i've read the hunger games 12 times i am trash
hate,"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room"
neutral,Have they seen Planet of the Apes &#8220;@WhatTheFFacts: Brazil has the highest number of monkey species of any nation in the world with 116.&#8221;
offensive,RT @DaSmacker: Mariners said moms 21 and over get free ball caps on mothers day. Basically all you young hoes with kids don't get one lol
hate,@StephyRae7 faggot.
neutral,@GroteSmurf0 @illMartino @SvensTweet @KangUcup3 goh d AnoniemeAso meeting heeft weer pauze.Nog steeds niet bij hoofdstuk:hoe haal ik m'n ID?
neutral,"#RedSox, focus on the #Orioles that knocked you out last year, and not your hatred of the #Yankees for um-teen years! LOL!"
neutral,"RT @prolongshop: #LED #Christmas #decor Lights 10m 33ft 100 LED #Fairy string #Light for Outdoor/Indoor, 

http://t.co/2ew0jjhB6n"
offensive,&#8220;@saidtina: @uce_INA I really hate Poly bitches.&#8221; You and me both man
hate,@InTheOvenJews @SlaveCatcher88 @marylene58 we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.
neutral,@eGoTheIcoN everytime pro teams do GB tourneys that get schmanged. Im not fanboying im just saying I don't think u should say they're trash.
offensive,wut spook me even more is its gon be dark when nigga drive outta hea..... im sick already
hate,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
hate,@ChaleCarlo5 stay talking defending your fuckboy ass boyfriend or what? go suck him off while youre at it faggot
hate,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad"
offensive,@charlieecai ok!!!!! Stupid bitch
hate,"""These sour apple bitter bitches, I'm not fuckin wit em"""
hate,@chemicalkidss this bitch look like a fucking white trash Trailer park queen lookin man bear pig. http://t.co/fqyXLJYIET
neutral,RT @DepressedDarth: Star Wars meets Charlie Brown http://t.co/m9uNRz6SYR
neutral,Why won't we run the ball? Our offensive coordinator is retarded
offensive,"RT @HighClassCapri: I'm on go, so bitch tread carefully."
hate,Black people like @ChiefKeef disgust me laughing at someone who died dumb monkey ass niggas like you need to be locked up just for stupidity
neutral,International law enforcement operation disrupts Shylock banking malware - PCWorld: International law enforcem... http://t.co/NPVP80gFh6
neutral,Shut up birds it's bed time.
hate,"RT @_politeASSHOLE: 4) Only pussy niggas who suck dick cry about someone being in their mentions, tweet the person then cry again about the&#8230;"
hate,@CheCha__ be gone my nigguh
neutral,RT @Lrihendry: Pregnant S.E. Cupp&#8217;s classic response to &#8216;liberal dem&#8217; who calls her &#8216;chunky&#8217; &#8211; with bonus tweets http://t.co/U8nlYWEfiO via&#8230;
offensive,@TheRealKevinMcB Sauerkraut Saul is a punk ass bitch
neutral,@1Oyster1 maybe not but you crow about obama and democrats so you are a mawbar....Might as well be a Republican.
neutral,RT @mlbtraderumors: Offseason Outlook: New York&#160;Yankees http://t.co/6DtDxdI6ul
hate,"@Chris_Anzueto @Josh_Mackey15 you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace."
hate,First thing I do when I hit the lotto is buying @moniqueeedavis two fat bitches and watching her eat both in one sitting
offensive,"95% of the truly talented people i've come across are retarded professionally. 95% of the awful, untalented people are on point and polite.."
neutral,Oh man. This could be a serious first ever Chanel bag contender RT @evachen212 grape-colored Chanel bags http://t.co/q8ShjIFv
hate,So many hoes whipped you would have thought we were still in slavery
hate,So I decided to drive to the good walmart where the colored folks don't go bc it's food here.
hate,RT @__J_R: Smh nigga is mildly retarded RT @Thotcho: LMFAO RT @JustDoJ: If Griff wasn&#8217;t injuries we&#8217;d legit be 6-1
neutral,@RobDa64 thanks!!! Now go clean that trash can ya lil nasty! Lol
hate,You&#8217;re a little bitch RT @FuckingCashBro: RT @Thotcho: my team got blown out in the Super Bowl
hate,"Kip Tokuda, yellow guy working to niggerize the Seattle PD, died. Too bad there's another POS hiding in the wings to replace him."
offensive,"Any man even considering plastic surgery is gay gay gay imagine ya boy say ""I'd get more hoes then u after I get these new lips"" &#128514;&#128514;&#128514;"
offensive,@RealWallieWall Ms. Martinez fuckin with the cripple kid?!
offensive,"&#8220;@iTweet4UglyPpl: &#8220;@KirbyMouf: No one wants an ugly nigga, so you've got him all to yourself. No more stressing over hoes&#8221; &lt;-&#8221; lies !"
offensive,"@DignifiedPurity LMAOOO @ ""black fag""..... why did I misread that??... I'm blocking you"
offensive,Females always tryna make a nigga feel bad about some shit like bitch I'ma smoke this weed and be happy all day
offensive,@Dre_thinks that damn coach ain't never called back bitch ass
offensive,@rhythmixx_ why you gotta hoe me like that
hate,@jumpmastere8 @dmcgowen1776 @visitorvisiting its retarded
hate,My eyes feel so chink eyed
offensive,RT @Tr1zz: How bout some of you bitches be women for Halloween.
hate,@DeezNutsDoe how about you wash my butthole out with your tongue you little faggot
offensive,Smh &amp;&amp; its not bitches its BITCH ASS NIGGAHS
neutral,#portlandia #putabirdonit RT @mightymouse105: The Xbox One would be so much cooler if they put a bird on it
hate,Every gook in #LosAngeles should be deported or killed.
hate,"RT ""@_ThatGAPeach: &amp; alla my niggas hot boys , so don't bring no ice in this bitch &#128130;&#8221;"
neutral,"RT @Shakestweetz: Friends of @philbarron: @javachik has let me know that Phil is very ill. His infection has gone septic, and he is fightin&#8230;"
hate,The blacks in #California are typical niggers.
offensive,This hoe taken by the world smh
offensive,dis Morgan hoe in da middle of erything....
neutral,@GregHillWAAF New show:Thursdays with Jinxy broadcast from the moon it's made of chunky blue cheese you know
hate,Why you think all these niggas end up with all these kids? Fucking ugly bitches
hate,@Prophzilla I don't hate that he blew up from 3005 like a hipster but I hate the faggots who say they love his music based off his worst +
offensive,"RT @DatDudeTorey: &#8220;@Aj_Swagggg: That ""boss ass bitch"" song got basics thinking they're models lmao #knowyourplace&#8221; &#128514;&#128514;&#128514;&#128514;&#128514;"
hate,RT @Ride907: If some little fucking faggot spits in my food I swear to god id tear your fucking arms off http://t.co/EQociANZ77
offensive,@Caliqueeen14 you da realest bitch out here Amber
offensive,I don't kick it with fuck nights and bitches
hate,@kieffer_jason oh am I lame but yo pussy ass didn't show up the fuck u talking bout oh scary ass white boy
offensive,RT @GreatScottnyc: All bitches is crazy.
hate,People are fucking retarded lol
offensive,@GabrielaAngela4 @DeliaParedez @StephyRae7 @TheOneMiss_Luu @Ramona_Pilar @rikki_lovee whatever Gabby! You hoe
neutral,"RT @DonnieWahlberg: Happy #BLUBLOODS Friday! 

Off to @CBSNews to sit down with the gang on CBS This Morning!

Join us in the 8 o'clock ho&#8230;"
neutral,*after BO1 RT @TheGodWriter_: @iDocLyfe Bruh lol I retired after mw2 because everything was trash afterwards.
hate,I hate when black people try and be white so bad ... Your a nigger
hate,I'm so sick of u niggers...
offensive,Bout to bust this bitch wide open. Such a waste of money!
offensive,@lil_TR1LL can't wait 2 see my bitch tmrw #gatsby #l00py
hate,"Lynch mob thugs threaten Zimmerman jury; &#8216;N*ggas coming for that bitch ass&#160;jury&#8217; http://t.co/XY6v2YtyAS The hatred won't stop flowing,,#War"
hate,I hate when white trash try to act like they're my equal. It only makes it that much clearer how white trash they are.
neutral,Free wop
hate,@ShawnIrwin9 okay closet fag
neutral,I from the planet of apes king Kong clips
neutral,"GUYS, I just walked into an office, and the secretary has a bird. Looks like I may just find out for myself. http://t.co/T9U4VGWJWv"
hate,RT @VillageBae: I hate when faggots talk shit on here then block me so I can't respond. Bitch I will write you a letter with my response an&#8230;
neutral,"RT @D_Sidbury_: &#8220;@lookwhogotit: All of Kate Upton's leaked nudes today &amp; more &#128525;

&#11015;&#65039;
http://t.co/BW7ldA56mI http://t.co/sWztntfdGn&#8221; bitch lo&#8230;"
hate,@marclamonthill will you mention why being called nigger is wrong(witch i agree with) &amp; bossy is wrong.but being called a pimp is still ok?
offensive,RT @kxllcity_: why do females think its cute too be rude af all the time and mean for no reason that shit aint cute bitch
offensive,RT @yungxprnce: Approach yo bitch like: http://t.co/UHMIME9psw
neutral,"RT @dril: night time falls. im ""corie latin"" now. a man of intrigue. i place a bird feather into my glass of scotch and i never do posts ab&#8230;"
hate,@austin_farrar your a fucking queer faggot bitch
hate,RT @anthonycampos23: Lebron your still a bitch you suck nigger hope you die
hate,Washing my coon hair
offensive,@Queen_Kaaat how about I just fuck you right in the pussy
neutral,I got a uncle through marriage dude got hips like big momma I swear all the lil kids mock his walk and he don't even know it
offensive,"Seriously, retarded is a really funny word."
offensive,RT @LeeniePunkin: Man fuck flappy bird http://t.co/QKk26wYVfC
neutral,"The punishment should fit the crime. For instance, if you take the last Twinkie you should choke on that Twinkie. Twinkie's are sacred."
neutral,RT @MeganCammalleri: Thank you to the Perkins student section for participating in the yellow out. We all really appreciated it!
neutral,Zack still questions my love for Oreos lol
hate,No one goes into psychiatry to help people. Those people are all immoral. Everyone who works in that field is pure trash.
offensive,Put ya hands up if you a Grade A bitch
hate,It's a lot of Uncle Tom ass niggas out here.
hate,@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece of poop please die alone
offensive,Just unfollowed another crazy bitch. Whos next? lol
offensive,@slone @JCCWatch Even that bitch has to admit something isn't right with our #SoCalledLeader.
offensive,But not prettier than Amber's. RT @YumiYoko: Her pussy is pretty
hate,@Huntermoore happy cuz I woke up white and not a nigger!
offensive,RT @imGuccinizz: Quit it with that you got hoes shit you ain't got a got damn thanggg witcha ugly ass !!!!!!!
offensive,RT @love_andhiphop: Stevie J proved that you can turn a hoe into a housewife.. &#128553;&#128514;&#128175;
neutral,"Posted a new song: """"guala"""" http://t.co/TbpOuto6zR http://t.co/y1RpItkIAf"
offensive,"This bitch literally just said ""normal people shouldn't work out in this gym because so many body builders workout here"""
hate,Faggot ass bitch nigga
neutral,FF has been consistently one of Marvel's worst properties. Ultimate FF was good; but the entire Ultimate universe is now in the trash.
hate,RT @Fucking_Garza: I wanna sleep but I'm outside with this nigger lol trying to hang him
offensive,@harley_schuder @ShitPussiesSay and you're a hoe
neutral,"""@WBUR: A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd"""
neutral,Went to an open house today &amp; the place was trash. Ewww
neutral,"RT @SBNation: Plenty of Kobe vs. Dwight trash talk after the game, too. http://t.co/YCwfrv7syX http://t.co/TRHYFjoIwc"
offensive,Lock 5 fat bitches in 1 room for 5 days with just 5 Mcdoubles. Now that's hunger games
neutral,Define wigga
neutral,RT @MemphisMSoccer: 50' 2nd yellow card issued for Temple
offensive,@JawShoeeAhhh @FabianMleal shut up bitch
hate,@AndrewJBurns1 @Tommy_Russell_ homo ass crackers
offensive,@ZachIrving I called people kikes and a lot of fucks
hate,@AnUglyNigga this is retarded
neutral,Three little birds
neutral,@Evan_P_Grant I can only hope Charlie Strong. #UTcoach
neutral,@SugarShai2 youtube bear vs monkey bike race!
hate,RT @602StrangeAngel: Your Swags off fag sauce
hate,i hate hoes.
offensive,I have officially earned my right to bitch about things for the next two years! Yay!
offensive,Spring is almost here.. &#171;@Me1st_u_last I realized that my collection of hoes has severely decreased &#128530;&#128530;&#128530;&#128530;&#187;
hate,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
offensive,@Big_Jim777 bitch
neutral,@sportswatch time to dump another diet coke in the trash
neutral,One mans trash is another mans treasure
hate,@_TurnDownDre @kushdaddycorr lmao you stupid nigger
hate,RT @alexishope_2014: You got niggas &amp; I got bitches but I want you... &#128149;&#127926;
offensive,RT @MandylouGraham: We put a redneck in the White House it's gonna be the camo house. @Moccasin_Creek &#128521;&#128514;
offensive,"""@_iwantfranny: He's a hoe , I can't"""
hate,Stupid white people making my posts relevant to they own life #stupid #cousintoucher #honkie #whitetrash #blonde
offensive,"If you're gonna be a hoe, then don't look for relationships. you lost that privilege when you decided to be a hoe."
offensive,"@Cyberobama @eReIevant 
plot twist he is a faggot"
offensive,Damn.. lol *CENSORED* RT @jwill252: Redskins Bitch!!!! Lets fucking go fuck the eagles we bout to burn that bitch down!! HTTR
hate,"RT @vodkapapixo: Black girls have never been into me. I guess cause I don't call them hoes, sell drug's or shoot niggas o well."
offensive,@_PRAWDA_ dying? oh bitch. exit my mentions. her last era was huge. #1 album. #1 tour. golden globe (cont) http://t.co/gkuJXIaDep
offensive,Cutler less skill at QB than a retarded quadriplegic
hate,Little fucking gook who smells like shit. An than thinking they're the motherfuckin boss. THE FUCK!
offensive,These hoes going BROKE trying to look RICH. ACT your WAGE!
offensive,@GorgeousCamry_ fight or nah dumb bitch &#128530;
hate,"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz"
offensive,"RT @NiiqueBaby: ""@FreeFaceRidess: She has cancer &amp; is still killing half you hoes http://t.co/IYuIUHqR0l"" jus cuz you have cancer dont mea&#8230;"
offensive,The baddest bitch in the world followed me on IG today and started liking all my pics. I aint even all that attractive so I know she catfish
offensive,RT @DearLeader10: You value yourself because someone gave you a title. I value myself because bitch I'm clutch. I win.
neutral,top layer trash.
hate,What a fucking faggot
offensive,Only for one reason cause a bitch wont go gay . If your name nt smurf . I see noone
hate,Next time u gone call a darky a nicca..call dat coon a jungle bunny#Boondocks P.S. I... http://t.co/ug647wUIE4
neutral,"Decent trade for the #Yankees, a proven veteran #Ichiro for some prospects"
offensive,ion have hoes so really you have no reason to worry about me cheating. if anything ill cheat on you with my left hand lbr
neutral,"Dude was talmbout ""I don't know why everyone hates Nickelback!"" Because they're trash, that's why."
neutral,"RT @KHOU: Charlie Strong took the longhorn logos off his players' helmets: They have to earn it back.

&#160;&#160;&#160;&#160;&#160;&#160; http://t.co/HvNUJT6Ss2 #Sport&#8230;"
neutral,"RT @T_Mart88: Jaheim, Donell Jones, Lyfe Jennings, Ginuwine, Charlie Wilson, Dru Hill, NEXT, Jodeci, Tyrese and etc ...... bring THAT type &#8230;"
hate,@sizzurp__ @bootyacid @ILIKECATS74 @yoPapi_chulo go back to lego club faggot
hate,I never had any friends the entire time I lived in #Virginia. No one was cool to me. I hope those white trash Southerners all die.
neutral,#gouache #inktober #oldpainting #mt #tiki #wahine #surf #monkey #bright #happysunday #peace wishing&#8230; http://t.co/l73hiK0IZ8
offensive,"Like my 3rd grade teacher used to say, ""you either eat pussy, or you are one. what's it gonna be?"" @JBilinovich @JZolly23"
hate,RT @Unorthodex: Nah I hate white people now since he looks like a dyke RT @ElBasedParko: I think he just ended racism http://t.co/VgjYHn4bvt
neutral,@boxingscene @RPopBox @BronzeBomber @boxing this Charlie Z really does need mental help check this out http://t.co/CkBS6WcZu1
offensive,"Idgaf if that's sounds illogical, this Twitter bitch."
offensive,RT @ogkels_: brought to you by bad bitches and good weed
offensive,@lilylovescamel @auroraabartlett I like that your room isn't a big sloppy mess like most of these Twitter hoes
hate,"RT @NIGNORAMUS: Here's how your ""suggestion"" plays out @piersmorgan 

Racist: ha, those niggers stopped callin each other nigga 

The end"
neutral,RT @bjs5555: ELECT Democratic Nominee Amos Powers @Powers2014 2 #Congress #TN6 DEFEAT TEA Diane Black #Red2Blue #TNTweeters #CIR http://t.c&#8230;
hate,"Funniest yt comment I ever received was ""Niggers gonna nig *shrugs*"" .. lmao racist muthafucka caught me off guard"
hate,@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe
hate,@coffincreepxx you had to throw in the faggot word smh smh smh
hate,RT @JManziel2: &#8220;@RealZachK0enn: @JManziel2 You're a faggot&#8221;you're a Texas fan...
hate,"@ItsMander @kfc
You can always gets da colored folk back in da cage wit da KFC"
hate,@heyrmbr probs that fag Vhia
neutral,Am I the only person that feels disrespected by the bird poop suddenly dropping on your front window:(ewww#annoying
neutral,I have a feeling tonight will be trash.
hate,@mflagginski I live in the eye of a white trash hurricane. Milwaukie OR. Where people use bikes BC of DUI's not to save the environment.
neutral,WashPost Describes Charlie Crist's Bizarre Obsession With Fan Between Legs To Stop Sweat When Asked/Answering Questions! DoG
hate,I hate all these industry fags. I hope they all get the Nigerian Summer Flu
offensive,Your bitch playing games? I may be the joystick
neutral,@fairflattaxnow discredited by whom? Per the government the study is good and factual. Pay your bills moocher teabaggers and republicans
hate,this guy is the biggest faggot omfg
hate,I think this nigga retarded G
hate,Don't mind black people.....hate niggers!
neutral,"RT @NDFootball: Winston connects with Greene on the slant across the middle for the score. Ball game is tied, 17-17."
hate,stupid loose pussyed bitch
hate,This niggah know wassup
offensive,@CayMarieee bitch
hate,@RedNationBlogga fuck those faggots
neutral,"Welcome to our land of dispossession! http://t.co/v14jkTLZ Check out the evil, racist whitey sitting on steps etc. ""Reconquista, Woo Hoo!!"
hate,It really is too bad that #California had faggot marriage forced upon her after her citizens declared it illegal.
neutral,"@hardball @now @hardball_chris now jimmy want to talk trash would've ,should've, could've now, Chris stop talking and spitting!!!!!!!!!!!!!!"
offensive,These hoes ain't loyal &#128075;
hate,The leftist/homosexual war on the #Catholic church kicked into high gear with the infiltration of the priesthood by boy-raping fags...
hate,@heyyayled do i have to repeat myself u white trash
offensive,Lol niggas still be talking about me threw bitches smh
neutral,@valerie91097 uhh messi trash . and im flattered but what was the games scorre
hate,RT @SAMMI_boyden: Fucking James tried to tell me Jawga Boys sucked. I went ape shit dude @savanigga @OfficialDThrash @jawgaboyz
offensive,I think you're in a bad mood from munching on hairy pussy.
hate,"""@TheoMaxximus: #GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
hate,@BloggerBoxing @rianscalia pass the Fosters faggot
